country,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,driving,transit,walking
Austria,2020-01-13,0,0,0,0,0,0,0,0,0
Austria,2020-01-14,0,0,0,0,0,0,1.14,0,1.55
Austria,2020-01-15,0,0,0,0,0,0,4.23999999999999,0,5.59
Austria,2020-01-16,0,0,0,0,0,0,12.21,0,12.24
Austria,2020-01-17,0,0,0,0,0,0,17.23,0,23.36
Austria,2020-01-18,0,0,0,0,0,0,17.22,0,31.05
Austria,2020-01-19,0,0,0,0,0,0,5.17,0,-10.07
Austria,2020-01-20,0,0,0,0,0,0,0.700000000000003,0,0.599999999999994
Austria,2020-01-21,0,0,0,0,0,0,2.67,0,3.3
Austria,2020-01-22,0,0,0,0,0,0,4.33,0,5.28
Austria,2020-01-23,0,0,0,0,0,0,7.89,0,10.89
Austria,2020-01-24,0,0,0,0,0,0,23.67,0,32.87
Austria,2020-01-25,0,0,0,0,0,0,19.39,0,36.57
Austria,2020-01-26,0,0,0,0,0,0,5.55,0,-7.01000000000001
Austria,2020-01-27,0,0,0,0,0,0,4.42,0,5.8
Austria,2020-01-28,0,0,0,0,0,0,6.42,0,5.38
Austria,2020-01-29,0,0,0,0,0,0,6.09999999999999,0,7.8
Austria,2020-01-30,0,0,0,0,0,0,8.47,0,13.19
Austria,2020-01-31,0,0,0,0,0,0,25.62,0,32.21
Austria,2020-02-01,0,0,0,0,0,0,34.87,0,48.15
Austria,2020-02-02,0,0,0,0,0,0,9.33,0,1.66
Austria,2020-02-03,0,0,0,0,0,0,9.04000000000001,0,6.52
Austria,2020-02-04,0,0,0,0,0,0,7.88,0,6.84999999999999
Austria,2020-02-05,0,0,0,0,0,0,10.15,0,5.75
Austria,2020-02-06,0,0,0,0,0,0,7.40000000000001,0,6.66
Austria,2020-02-07,0,0,0,0,0,0,27.94,0,26.55
Austria,2020-02-08,0,0,0,0,0,0,46.79,0,42.55
Austria,2020-02-09,0,0,0,0,0,0,16.74,0,3.86
Austria,2020-02-10,0,0,0,0,0,0,9.94,0,10.43
Austria,2020-02-11,0,0,0,0,0,0,12.72,0,14.55
Austria,2020-02-12,0,0,0,0,0,0,13.59,0,14.2
Austria,2020-02-13,0,0,0,0,0,0,16.37,0,23.11
Austria,2020-02-14,0,0,0,0,0,0,45.47,0,48.29
Austria,2020-02-15,9,1,42,13,0,-2,58.95,0,65.31
Austria,2020-02-16,15,21,42,12,1,-2,20.22,0,13.75
Austria,2020-02-17,9,5,35,3,-4,0,13.56,0,25.35
Austria,2020-02-18,8,5,40,2,-4,0,13.49,0,27.47
Austria,2020-02-19,4,2,10,-1,-5,1,17.98,0,25.25
Austria,2020-02-20,4,1,13,2,-5,0,17.11,0,32.26
Austria,2020-02-21,1,4,7,-2,-5,1,42.35,0,42.4
Austria,2020-02-22,9,3,52,14,2,-2,56.99,0,66.41
Austria,2020-02-23,4,23,4,5,2,0,14.15,0,14.7
Austria,2020-02-24,9,10,25,3,2,-1,11.17,0,25.95
Austria,2020-02-25,13,10,60,7,0,0,9,0,25.66
Austria,2020-02-26,-3,10,8,-2,0,1,8.98,0,15.47
Austria,2020-02-27,1,7,9,0,1,1,13.71,0,22.28
Austria,2020-02-28,-1,9,-1,-2,1,1,38.1,0,29.96
Austria,2020-02-29,2,3,9,0,1,0,30.25,0,34.42
Austria,2020-03-01,0,8,6,1,2,0,6.13,0,-1.01000000000001
Austria,2020-03-02,2,6,16,1,3,-1,3.20999999999999,0,11.8
Austria,2020-03-03,-1,4,-1,-3,2,1,4.23999999999999,0,10.27
Austria,2020-03-04,2,5,12,0,2,0,11.11,0,12.82
Austria,2020-03-05,1,3,4,0,1,0,11.25,0,20.92
Austria,2020-03-06,-1,3,-7,-2,1,0,23.46,0,33.87
Austria,2020-03-07,4,0,-2,-3,0,0,21.17,0,36.39
Austria,2020-03-08,14,14,42,5,1,-2,9.52,0,-2.2
Austria,2020-03-09,-1,4,2,-3,1,0,2.15000000000001,0,4.56
Austria,2020-03-10,-3,10,9,-3,1,0,-1.15000000000001,0,-1.47
Austria,2020-03-11,-6,17,12,-8,-1,1,-7.06,0,-6.13
Austria,2020-03-12,-10,24,18,-9,-3,2,-13.24,0,-10.7
Austria,2020-03-13,-20,46,-20,-20,-6,5,-13.02,0,-31.64
Austria,2020-03-14,-35,-7,-17,-34,-9,8,-35.67,0,-44.7
Austria,2020-03-15,-59,-32,-13,-43,-18,8,-50.93,0,-63.62
Austria,2020-03-16,-71,-14,-37,-56,-43,19,-59.48,0,-71.14
Austria,2020-03-17,-79,-32,-43,-66,-55,24,-62.97,0,-74.47
Austria,2020-03-18,-79,-30,-24,-65,-58,24,-62.59,0,-68.23
Austria,2020-03-19,-80,-29,-32,-67,-60,25,-63.86,0,-67.47
Austria,2020-03-20,-81,-28,-32,-68,-59,26,-65.59,0,-67.62
Austria,2020-03-21,-88,-39,-73,-75,-54,20,-75.17,0,-81.46
Austria,2020-03-22,-90,-69,-60,-76,-54,15,-72.89,0,-79.37
Austria,2020-03-23,-79,-31,-57,-71,-60,25,-66.71,0,-76.15
Austria,2020-03-24,-80,-32,-44,-71,-61,26,-66.56,0,-74.78
Austria,2020-03-25,-81,-34,-58,-73,-62,27,-66.31,0,-76.12
Austria,2020-03-26,-81,-31,-59,-72,-62,27,-65.64,0,-74.34
Austria,2020-03-27,-80,-26,-39,-70,-60,27,-64.39,0,-68.15
Austria,2020-03-28,-83,-31,-21,-66,-49,17,-67.12,0,-64.74
Austria,2020-03-29,-87,-64,-43,-71,-51,14,-67.07,0,-72.78
Austria,2020-03-30,-78,-31,-57,-71,-59,25,-64.15,0,-74.94
Austria,2020-03-31,-77,-24,-47,-69,-59,25,-61.43,0,-71.92
Austria,2020-04-01,-77,-30,-34,-67,-59,24,-60.38,0,-68.81
Austria,2020-04-02,-77,-29,-36,-68,-59,25,-59.66,0,-67.22
Austria,2020-04-03,-79,-25,-46,-69,-59,26,-61.66,0,-68.05
Austria,2020-04-04,-82,-30,-36,-67,-48,17,-66.95,0,-68.41
Austria,2020-04-05,-82,-55,-11,-64,-46,12,-60.8,0,-60.49
Austria,2020-04-06,-73,-26,-22,-64,-58,22,-55.85,0,-63.21
Austria,2020-04-07,-74,-24,-6,-63,-58,22,-53.38,0,-60.19
Austria,2020-04-08,-74,-21,-10,-63,-58,22,-52.15,0,-59.29
Austria,2020-04-09,-74,-15,-20,-63,-59,22,-51.19,0,-58.31
Austria,2020-04-10,-76,-16,-22,-66,-63,24,-54.91,0,-59.52
Austria,2020-04-11,-81,-27,-20,-62,-45,15,-63.22,0,-61.2
Austria,2020-04-12,-83,-54,-6,-63,-45,11,-64.94,0,-60.52
Austria,2020-04-13,-90,-94,-15,-78,-88,31,-57.67,0,-66.08
Austria,2020-04-14,-62,-16,-41,-62,-53,21,-48.86,0,-64.53
Austria,2020-04-15,-62,-20,-12,-58,-52,20,-46.12,0,-58.74
Austria,2020-04-16,-63,-18,-9,-57,-52,20,-43.98,0,-54.42
Austria,2020-04-17,-65,-16,-10,-58,-52,20,-45.93,0,-54.97
Austria,2020-04-18,-70,-21,-8,-54,-36,13,-54.37,0,-56.96
Austria,2020-04-19,-84,-53,-37,-66,-43,12,-54.18,0,-67.71
Austria,2020-04-20,-58,-24,-14,-56,-48,18,-41.13,0,-55.8
Austria,2020-04-21,-60,-21,2,-54,-48,18,-40.78,0,-55.07
Austria,2020-04-22,-61,-21,7,-54,-48,18,-39.79,0,-52.41
Austria,2020-04-23,-62,-18,-3,-54,-48,18,-39.24,0,-51.93
Austria,2020-04-24,-64,-17,-10,-56,-49,19,-42.48,0,-55.59
Austria,2020-04-25,-68,-19,-7,-52,-33,12,-49.69,0,-56.99
Austria,2020-04-26,-73,-36,23,-50,-34,8,-42.82,0,-51.34
Austria,2020-04-27,-57,-22,-12,-52,-45,16,-39.04,0,-55.33
Austria,2020-04-28,-58,-18,14,-50,-45,15,-37.37,0,-52.26
Austria,2020-04-29,-61,-12,-40,-55,-46,18,-37.71,0,-59.94
Austria,2020-04-30,-49,13,-10,-49,-45,14,-35.56,0,-53.45
Austria,2020-05-01,-83,-90,5,-66,-82,26,-38.8,0,-53.38
Austria,2020-05-02,-43,4,-12,-44,-24,8,-37.54,0,-50.82
Austria,2020-05-03,-72,-32,-1,-49,-31,7,-33.62,0,-53.62
Austria,2020-05-04,-32,-8,-2,-43,-38,12,-25.81,0,-45.49
Austria,2020-05-05,-39,-8,-18,-46,-39,14,-25.96,0,-46.93
Austria,2020-05-06,-38,-5,1,-43,-38,12,-21.79,0,-43.05
Austria,2020-05-07,-39,-5,12,-41,-38,12,-19.11,0,-38.6
Austria,2020-05-08,-40,-2,20,-41,-39,12,-16.49,0,-36.38
Austria,2020-05-09,-43,-2,18,-35,-19,5,-28.83,0,-44.59
Austria,2020-05-10,-64,-25,8,-39,-18,3,-30.48,0,-54.73
Austria,2020-05-11,-37,-16,-8,-43,-36,12,0,0,0
Austria,2020-05-12,-39,-9,-4,-41,-35,13,0,0,0
Austria,2020-05-13,-41,-10,-13,-43,-35,13,-17.93,0,-43.72
Austria,2020-05-14,-42,-9,-20,-44,-36,12,-18.55,0,-44.56
Austria,2020-05-15,-34,-11,-43,-47,-36,13,-17.67,0,-45.28
Austria,2020-05-16,-32,-13,5,-35,-12,5,-22.55,0,-40.06
Austria,2020-05-17,-40,-18,47,-31,-13,3,-15.21,0,-39.11
Austria,2020-05-18,-20,-11,35,-32,-27,7,-8.48,0,-28.44
Austria,2020-05-19,-22,-7,27,-33,-28,8,-7.03,0,-28.3
Austria,2020-05-20,-14,22,20,-29,-28,6,-1.56999999999999,0,-28.79
Austria,2020-05-21,-58,-87,82,-52,-80,20,-5.7,0,-31.2
Austria,2020-05-22,-20,2,28,-38,-44,10,-4.65000000000001,0,-23.96
Austria,2020-05-23,-32,-12,-6,-41,-13,6,-20.42,0,-43.31
Austria,2020-05-24,-44,-20,3,-37,-14,4,-13.87,0,-47.08
Austria,2020-05-25,-22,-9,-22,-37,-29,9,-9.15000000000001,0,-37.81
Austria,2020-05-26,-25,-8,-10,-36,-27,9,-5.69,0,-33.55
Austria,2020-05-27,-21,-8,38,-30,-26,7,-2.69,0,-24.16
Austria,2020-05-28,-26,-6,-27,-36,-28,9,-1.91,0,-32.83
Austria,2020-05-29,-23,-1,-6,-33,-28,7,7.06,0,-22.32
Austria,2020-05-30,-24,-2,16,-30,-5,2,-4.51000000000001,0,-24.63
Austria,2020-05-31,-44,-21,-13,-45,-14,4,-14.34,0,-48.05
Austria,2020-06-01,-46,-86,141,-45,-79,16,13.69,0,-19.37
Austria,2020-06-02,-13,9,40,-27,-29,5,11.56,0,-14.95
Austria,2020-06-03,-18,-3,23,-26,-23,5,9.53,0,-16.66
Austria,2020-06-04,-19,-4,10,-25,-23,5,11.11,0,-12.98
Austria,2020-06-05,-20,-3,-13,-30,-24,6,14,0,-15.35
Austria,2020-06-06,-20,-11,55,-22,-1,0,7.45,0,-7.55
Austria,2020-06-07,-30,-11,22,-31,-5,2,3.31999999999999,0,-35.28
Austria,2020-06-08,-14,-7,-4,-28,-25,5,8.73999999999999,0,-19.79
Austria,2020-06-09,-14,-4,8,-27,-25,6,13.08,0,-15.87
Austria,2020-06-10,-9,18,-3,-24,-26,3,26.42,0,-17.25
Austria,2020-06-11,-47,-85,96,-47,-76,17,25.28,0,-6.19
Austria,2020-06-12,-11,0,84,-29,-42,5,31.9,0,12.65
Austria,2020-06-13,-21,-13,95,-20,-1,-2,18.86,0,-4.34
Austria,2020-06-14,-35,-19,-18,-33,-2,1,14.42,0,-41.92
Austria,2020-06-15,-12,-7,-3,-26,-24,5,18.3,0,-14.4
Austria,2020-06-16,-11,-5,35,-22,-22,4,18.83,0,-7.23999999999999
Austria,2020-06-17,-12,-7,35,-22,-23,4,20.65,0,-6.20999999999999
Austria,2020-06-18,-14,-7,16,-24,-24,4,22.53,0,-3.58
Austria,2020-06-19,-17,-8,14,-25,-24,4,30.1,0,0.680000000000007
Austria,2020-06-20,-20,-12,-2,-30,-6,2,14,0,-15.74
Austria,2020-06-21,-35,-22,-13,-34,-9,2,15.29,0,-30.05
Austria,2020-06-22,-10,-9,50,-22,-24,3,22.73,0,-3.01
Austria,2020-06-23,-9,-8,92,-19,-23,2,27.08,0,2.8
Austria,2020-06-24,-11,-8,71,-20,-22,2,28.2,0,1.25
Austria,2020-06-25,-12,-6,26,-22,-24,4,31.95,0,2.06999999999999
Austria,2020-06-26,-14,-7,51,-21,-23,2,44.96,0,15.21
